year,month,pr
2012,3,3.1038132e-06
2012,4,1.5077381e-05
2012,5,2.9361252e-05
2012,6,5.1494906e-05
2012,7,8.3239145e-05
2012,8,9.363835e-05
2012,9,8.6243184e-05
2012,10,8.292926e-05
2012,11,6.5064896e-06
2012,12,3.9107775e-08
2013,1,2.6167113e-08
2013,2,3.3121886e-08
2013,3,1.4397109e-05
2013,4,1.2033854e-05
2013,5,4.2372725e-05
2013,6,8.220387e-05
2013,7,7.363258e-05
2013,8,0.00010375569
2013,9,7.881345e-05
2013,10,5.570675e-05
2013,11,3.1432035e-06
2013,12,2.1398529e-07
2014,1,5.00864e-07
2014,2,1.742226e-06
2014,3,3.6809715e-06
2014,4,1.4273942e-05
2014,5,5.7181194e-05
2014,6,5.8601043e-05
2014,7,7.740086e-05
2014,8,0.000110701185
2014,9,9.2076036e-05
2014,10,3.2170825e-05
2014,11,8.3286195e-06
2014,12,3.216341e-10
